Date,Soybean Oil Dec 2015,Soybean Meal Dec 2015,Soybeans Nov 2015
2015-09-01,27.55,308.1,874
2015-09-02,27.09,310.3,874
2015-09-03,27.07,308.2,869.5
2015-09-04,26.73,306.8,866.5
2015-09-08,27.17,308.6,879.25
2015-09-09,26.9,308.3,872.25
2015-09-10,27.17,306.7,874
2015-09-11,26.85,309.3,874.25
2015-09-14,27.13,312.8,884.25
2015-09-15,26.66,317.4,889
2015-09-16,26.89,315.4,887.25
2015-09-17,26.87,312.3,884.5
2015-09-18,26.25,307.8,867.25
2015-09-21,26.71,308.2,874.25
2015-09-22,26.34,303.3,861.75
2015-09-23,26.54,302,863.75
2015-09-24,27.18,301.9,868
2015-09-25,27.91,308.2,889.25
2015-09-28,27.37,304.1,876.75
2015-09-29,27.69,305.5,884.25
2015-09-30,27.34,309,892
2015-10-01,27.32,303.9,877.25
2015-10-02,28.06,301.2,874.25
2015-10-05,28.66,303.8,884.25
2015-10-06,28.71,303.6,888
2015-10-07,28.62,306.5,891
2015-10-08,28.36,304.3,881.25
2015-10-09,28.34,307.8,885.75
2015-10-12,28.18,309.5,887.5
2015-10-13,28.79,317.7,914
2015-10-14,28.83,315.8,910.5
2015-10-15,28.58,314,905.25
2015-10-16,28.6,312,898.25
2015-10-19,28.14,310.8,891
2015-10-20,28.66,309.5,896
2015-10-21,29.18,310.5,905.25
2015-10-22,28.85,307.8,898.75
2015-10-23,28.57,305.1,895.5
2015-10-26,27.78,302.2,885
2015-10-27,27.89,304.7,891.25
2015-10-28,28.11,299.9,881.5
2015-10-29,27.88,301.6,878.75
2015-10-30,28.2,304.4,883.75
Futures Contract Quantities,"60,000 lbs","100 short tons or 200,000 lbs","5,000 bushels"
